@RELATION activity

@ATTRIBUTE "Absolute Mean (series 0)" numeric
@ATTRIBUTE "Absolute Mean (series 1)" numeric
@ATTRIBUTE "Absolute Mean (series 2)" numeric
@ATTRIBUTE "Absolute Mean (series 3)" numeric
@ATTRIBUTE "Absolute Mean (series 4)" numeric
@ATTRIBUTE "Absolute Mean (series 5)" numeric
@ATTRIBUTE "Maximum (series 0)" numeric
@ATTRIBUTE "Maximum (series 1)" numeric
@ATTRIBUTE "Maximum (series 2)" numeric
@ATTRIBUTE "Maximum (series 3)" numeric
@ATTRIBUTE "Maximum (series 4)" numeric
@ATTRIBUTE "Maximum (series 5)" numeric
@ATTRIBUTE "Mean (series 0)" numeric
@ATTRIBUTE "Mean (series 1)" numeric
@ATTRIBUTE "Mean (series 2)" numeric
@ATTRIBUTE "Mean (series 3)" numeric
@ATTRIBUTE "Mean (series 4)" numeric
@ATTRIBUTE "Mean (series 5)" numeric
@ATTRIBUTE "Median (series 0)" numeric
@ATTRIBUTE "Median (series 1)" numeric
@ATTRIBUTE "Median (series 2)" numeric
@ATTRIBUTE "Median (series 3)" numeric
@ATTRIBUTE "Median (series 4)" numeric
@ATTRIBUTE "Median (series 5)" numeric
@ATTRIBUTE "Minimum (series 0)" numeric
@ATTRIBUTE "Minimum (series 1)" numeric
@ATTRIBUTE "Minimum (series 2)" numeric
@ATTRIBUTE "Minimum (series 3)" numeric
@ATTRIBUTE "Minimum (series 4)" numeric
@ATTRIBUTE "Minimum (series 5)" numeric
@ATTRIBUTE "Range (series 0)" numeric
@ATTRIBUTE "Range (series 1)" numeric
@ATTRIBUTE "Range (series 2)" numeric
@ATTRIBUTE "Range (series 3)" numeric
@ATTRIBUTE "Range (series 4)" numeric
@ATTRIBUTE "Range (series 5)" numeric
@ATTRIBUTE classification {CLASSIFIED/VEHICLE/CAR,CLASSIFIED/IDLE/STANDING,CLASSIFIED/VEHICLE/BUS,CLASSIFIED/WALKING,CLASSIFIED/IDLE/SITTING,CLASSIFIED/WALKING/STAIRS/DOWN,CLASSIFIED/DANCING,CLASSIFIED/WALKING/STAIRS/UP}

@DATA
0.62642944,0.12811637,9.469974,266.80322,583.0625,427.64893,1.3892754,2.7513103,12.340035,1.4E-45,1.4E-45,1.4E-45,-0.62642944,0.12811637,9.469974,-266.80322,-583.0625,-427.64893,-0.55843425,0.20430522,9.493382,-266.875,-583.125,-427.4375,-2.8875136,-2.1111538,6.1291566,-268.5625,-585.125,-431.125,4.276789,4.862464,6.210879,268.5625,585.125,431.125,CLASSIFIED/VEHICLE/CAR
0.0022344692,0.01330111,9.285565,267.93457,584.27734,428.55322,4.072484,1.4437568,13.756551,1.4E-45,1.4E-45,1.4E-45,-0.0022344692,-0.01330111,9.285565,-267.93457,-584.27734,-428.55322,-0.12258313,-0.06810174,9.112013,-268.0625,-584.125,-428.4375,-3.3778462,-1.56634,6.347082,-269.8125,-586.375,-430.375,7.4503303,3.0100968,7.4094687,269.8125,586.375,430.375,CLASSIFIED/VEHICLE/CAR
0.62036425,0.32199344,9.524563,269.1748,586.4131,427.6416,4.072484,2.3018389,12.993812,1.4E-45,1.4E-45,1.4E-45,0.62036425,0.32199344,9.524563,-269.1748,-586.4131,-427.6416,0.61291564,0.3949901,9.370799,-269.3125,-586.625,-427.6875,-1.2803127,-1.5390993,6.7284517,-271.0,-588.9375,-430.625,5.3527966,3.840938,6.26536,271.0,588.9375,430.625,CLASSIFIED/VEHICLE/CAR
2.2309706,0.073741406,9.349199,12.255859,23.427734,9.386719,3.091819,0.3405087,10.2152605,13.6875,25.4375,1.4E-45,2.2309706,-0.073741406,9.349199,12.255859,23.427734,-9.386719,2.2201166,-0.05448139,9.343558,12.4375,23.4375,-9.5,1.3620348,-0.47671217,8.362893,9.75,21.6875,-11.25,1.7297843,0.81722087,1.8523674,3.9375,3.75,11.25,CLASSIFIED/VEHICLE/CAR
2.3007755,0.12056137,9.324409,13.532715,22.06836,9.79834,3.4187074,0.23154591,10.18802,15.125,23.6875,1.4E-45,2.3007755,-0.12056137,9.324409,13.532715,22.06836,-9.79834,2.2473574,-0.10896278,9.357179,13.4375,22.1875,-9.75,1.4301366,-0.42223078,8.267551,11.9375,20.4375,-11.6875,1.9885708,0.6537767,1.9204683,3.1875,3.25,11.6875,CLASSIFIED/VEHICLE/CAR
2.1801066,0.23090754,9.357284,13.287109,21.132812,10.544922,2.9283748,0.20430522,10.20164,14.625,22.6875,1.4E-45,2.1801066,-0.23090754,9.357284,13.287109,21.132812,-10.544922,2.1656353,-0.21792556,9.343558,13.1875,21.1875,-10.5,1.4982382,-0.667397,8.580819,11.6875,19.6875,-12.6875,1.4301366,0.87170225,1.620821,2.9375,3.0,12.6875,CLASSIFIED/VEHICLE/CAR
2.3300378,0.12247674,9.299504,13.640137,20.197266,10.058594,3.173541,0.43585113,10.501288,15.125,21.9375,1.4E-45,2.3300378,-0.12247674,9.299504,13.640137,20.197266,-10.058594,2.315459,-0.10896278,9.316318,13.6875,20.1875,-10.0,1.8523673,-0.58567494,8.430995,11.9375,18.4375,-12.4375,1.3211738,1.0215261,2.0702934,3.1875,3.5,12.4375,CLASSIFIED/VEHICLE/CAR
2.412503,0.23165235,9.269176,13.796875,18.488281,10.139648,2.8602731,0.17706452,10.746454,15.375,20.1875,1.4E-45,2.412503,-0.23165235,9.269176,13.796875,18.488281,-10.139648,2.465283,-0.20430522,9.275456,13.9375,18.4375,-10.0,1.5799603,-0.6401563,8.335652,12.4375,16.4375,-11.4375,1.2803128,0.81722087,2.410802,2.9375,3.75,11.4375,CLASSIFIED/VEHICLE/CAR
1.6767923,0.21143484,9.408787,14.515137,17.533203,9.654297,2.6287272,0.12258313,10.3242235,17.125,19.9375,1.4E-45,1.6767923,-0.21143484,9.408787,14.515137,17.533203,-9.654297,1.7706453,-0.20430522,9.438901,14.375,17.6875,-9.75,0.7491191,-0.6401563,8.458236,12.6875,15.1875,-11.6875,1.8796082,0.7627395,1.8659878,4.4375,4.75,11.6875,CLASSIFIED/VEHICLE/CAR
2.1353087,0.21835122,9.344518,15.077148,13.473633,9.720703,3.6911142,2.2745981,10.079058,17.5625,19.1875,1.4E-45,2.1353087,0.21835122,9.344518,15.077148,13.473633,-9.720703,1.8387469,-0.10896278,9.370799,14.875,15.1875,-9.75,1.293933,-2.4108016,8.158588,13.1875,5.625,-11.6875,2.397181,4.6854,1.9204693,4.375,13.5625,11.6875,CLASSIFIED/VEHICLE/CAR
